                            ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
Cat                         ,    0.0396,    0.006,    6.156, 0.000,    0.027,    0.052
AgeRange_0                  ,    0.3205,    0.008,   42.249, 0.000,    0.306,    0.335
AgeRange_1_4                ,    0.0780,    0.007,   11.698, 0.000,    0.065,    0.091
AgeRange_10_14              ,   -0.0991,    0.014,   -7.189, 0.000,   -0.126,   -0.072
AgeRange_15_20              ,   -0.1790,    0.033,   -5.383, 0.000,   -0.244,   -0.114
MixBreed                    ,   -0.0493,    0.006,   -7.799, 0.000,   -0.062,   -0.037
SexuponOutcome_Intact_Male  ,   -0.0518,    0.009,   -5.819, 0.000,   -0.069,   -0.034
SexuponOutcome_Neutered_Male,    0.4315,    0.007,   63.850, 0.000,    0.418,    0.445
SexuponOutcome_Spayed_Female,    0.4822,    0.007,   70.399, 0.000,    0.469,    0.496
SexuponOutcome_Unknown      ,   -0.0818,    0.014,   -5.893, 0.000,   -0.109,   -0.055
ColorCat_Black              ,   -0.0225,    0.009,   -2.531, 0.011,   -0.040,   -0.005
ColorCat_Black_Brown        ,    0.0115,    0.015,    0.755, 0.450,   -0.018,    0.041
ColorCat_Black_Tan          ,   -0.0115,    0.015,   -0.793, 0.428,   -0.040,    0.017
ColorCat_Black_White        ,   -0.0197,    0.008,   -2.482, 0.013,   -0.035,   -0.004
ColorCat_Blue               ,    0.0174,    0.012,    1.492, 0.136,   -0.005,    0.040
ColorCat_Brown              ,   -0.0160,    0.009,   -1.707, 0.088,   -0.034,    0.002
ColorCat_Brown_Brindle_White,   -0.0511,    0.020,   -2.608, 0.009,   -0.089,   -0.013
ColorCat_Cream              ,   -0.0691,    0.033,   -2.082, 0.037,   -0.134,   -0.004
ColorCat_Cream_Tabby        ,    0.0266,    0.029,    0.904, 0.366,   -0.031,    0.084
ColorCat_Fawn_White         ,   -0.1110,    0.039,   -2.840, 0.005,   -0.188,   -0.034
ColorCat_Gold               ,   -0.1446,    0.056,   -2.566, 0.010,   -0.255,   -0.034
ColorCat_Gray_White         ,   -0.1114,    0.042,   -2.682, 0.007,   -0.193,   -0.030
ColorCat_Lynx_Point         ,    0.0503,    0.032,    1.584, 0.113,   -0.012,    0.113
ColorCat_Orange_Tabby       ,    0.0053,    0.015,    0.352, 0.725,   -0.024,    0.035
ColorCat_Sable              ,    0.0626,    0.029,    2.150, 0.032,    0.006,    0.120
ColorCat_Sable_White        ,    0.0801,    0.044,    1.825, 0.068,   -0.006,    0.166
ColorCat_Tortie             ,   -0.0293,    0.017,   -1.680, 0.093,   -0.063,    0.005
ColorCat_Tricolor           ,   -0.0089,    0.015,   -0.593, 0.553,   -0.038,    0.020
ColorCat_White              ,   -0.0314,    0.011,   -2.899, 0.004,   -0.053,   -0.010
ColorCat_Yellow             ,   -0.0861,    0.025,   -3.379, 0.001,   -0.136,   -0.036